Measurement date,Station code,Item code,Average value,Instrument status
01-01-2017 02:00,125,6,0.002,0
01-01-2017 02:00,125,8,72,0
01-01-2017 02:00,125,9,56,0
01-01-2017 03:00,101,1,0.004,0
01-01-2017 03:00,101,3,0.056,0
01-01-2017 03:00,101,5,1.2,0
01-01-2017 03:00,101,6,0.002,0
01-01-2017 03:00,101,8,70,0
01-01-2017 03:00,101,9,58,0
01-01-2017 03:00,102,1,0.005,0
01-01-2017 03:00,102,3,0.053,0
01-01-2017 03:00,102,5,1.1,0
01-01-2017 03:00,102,6,0.002,0
01-01-2017 03:00,102,8,67,0
01-01-2017 03:00,102,9,55,0
01-01-2017 03:00,103,1,0.004,0
01-01-2017 03:00,103,3,0.036,0
01-01-2017 03:00,103,5,1.4,0
01-01-2017 03:00,103,6,0.002,0
01-01-2017 03:00,103,8,68,0
01-01-2017 03:00,103,9,65,0
01-01-2017 03:00,104,1,0.005,0
01-01-2017 03:00,104,3,0.042,0
01-01-2017 03:00,104,5,0.6,0
01-01-2017 03:00,104,6,0.003,0
01-01-2017 03:00,104,8,66,0
01-01-2017 03:00,104,9,38,0
01-01-2017 03:00,105,1,0.005,0
01-01-2017 03:00,105,3,0.039,0
01-01-2017 03:00,105,5,0.8,0
01-01-2017 03:00,105,6,0.005,0
01-01-2017 03:00,105,8,85,0
01-01-2017 03:00,105,9,42,0
01-01-2017 03:00,106,1,0.004,0
01-01-2017 03:00,106,3,0.058,0
01-01-2017 03:00,106,5,1.4,0
01-01-2017 03:00,106,6,0.003,0
01-01-2017 03:00,106,8,66,0
01-01-2017 03:00,106,9,60,0
01-01-2017 03:00,107,1,0.004,0
01-01-2017 03:00,107,3,0.043,0
01-01-2017 03:00,107,5,0.9,0
01-01-2017 03:00,107,6,0.002,0
01-01-2017 03:00,107,8,72,0
01-01-2017 03:00,107,9,49,0
01-01-2017 03:00,108,1,0.004,0
01-01-2017 03:00,108,3,0.039,0
01-01-2017 03:00,108,5,0.7,0
01-01-2017 03:00,108,6,0.003,0
01-01-2017 03:00,108,8,70,0
01-01-2017 03:00,108,9,63,0
01-01-2017 03:00,109,1,0.005,0
01-01-2017 03:00,109,3,0.043,0
01-01-2017 03:00,109,5,1.1,0
01-01-2017 03:00,109,6,0.002,0
01-01-2017 03:00,109,8,81,0
01-01-2017 03:00,109,9,48,0
01-01-2017 03:00,110,1,0.005,0
01-01-2017 03:00,110,3,0.041,0
01-01-2017 03:00,110,5,0.8,0
01-01-2017 03:00,110,6,0.002,0
01-01-2017 03:00,110,8,70,0
01-01-2017 03:00,110,9,48,0
01-01-2017 03:00,111,1,0.004,0
01-01-2017 03:00,111,3,0.042,0
01-01-2017 03:00,111,5,0.9,0
01-01-2017 03:00,111,6,0.002,0
01-01-2017 03:00,111,8,54,0
01-01-2017 03:00,111,9,45,0
01-01-2017 03:00,112,1,0.004,0
01-01-2017 03:00,112,3,0.04,0
01-01-2017 03:00,112,5,0.8,0
01-01-2017 03:00,112,6,0.001,0
01-01-2017 03:00,112,8,63,0
01-01-2017 03:00,112,9,53,0
01-01-2017 03:00,113,1,0.005,0
01-01-2017 03:00,113,3,0.05,0
01-01-2017 03:00,113,5,0.9,0
01-01-2017 03:00,113,6,0.002,0
01-01-2017 03:00,113,8,66,0
01-01-2017 03:00,113,9,38,0
01-01-2017 03:00,114,1,0.007,0
01-01-2017 03:00,114,3,0.043,0
01-01-2017 03:00,114,5,1.2,0
01-01-2017 03:00,114,6,0.002,0
01-01-2017 03:00,114,8,69,0
01-01-2017 03:00,114,9,58,0
01-01-2017 03:00,115,1,0.005,0
01-01-2017 03:00,115,3,0.045,0
01-01-2017 03:00,115,5,1.3,0
01-01-2017 03:00,115,6,0.002,0
